year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.056479568214623625,0.674312234671554,282,0,282.0,0.0344,0
1,0.05848735500691462,0.7179823482942441,318,100,318.0,0.0363,100
2,0.060288611447700126,0.7548001352918678,342,200,342.0,0.0369,200
3,0.0620356844697843,0.7853374736934687,343,300,343.0,0.0373,200
4,0.06371414751045806,0.8099560820465278,344,400,344.0,0.0374,200
5,0.06514180869567854,0.8292339228861696,344,500,344.0,0.0373,200
6,0.06646731728344389,0.8424056116226822,344,700,344.0,0.0366,300
7,0.06776298718663334,0.8506378737609573,342,900,342.0,0.0361,400
8,0.06894237899250964,0.8545572911349211,341,1100,341.0,0.0361,400
9,0.06998244855386915,0.8548630017034917,339,1300,339.0,0.0364,400
10,0.07101245417775505,0.8524112858448043,336,1500,336.0,0.0373,400
11,0.07110373622937921,0.8559029977271577,329,1700,329.0,0.038,400
12,0.07129092694856817,0.8582436212908975,326,1900,326.0,0.0497,400
13,0.07158352353467806,0.8601507607194999,319,2100,319.0,0.0585,400
14,0.07198374859256433,0.8610123529234225,298,2300,298.0,0.0674,400
15,0.07249235322510636,0.8606524270903606,288,2500,288.0,0.0771,400
16,0.0743627127496981,0.8540923310781412,274,2800,274.0,0.087,500
17,0.07677694484973167,0.8472290456571527,264,3100,264.0,0.0965,600
18,0.07965804518378701,0.8400359540173721,357,3400,357.0,0.1061,600
19,0.0829140774963907,0.8328355856309178,457,3700,457.0,0.1161,600
20,0.08643469585380913,0.8256148454268017,534,4000,534.0,0.1242,600
21,0.09018668055175115,0.8175070673804314,610,4300,610.0,0.1329,600
22,0.09421872830157256,0.8094347869066267,687,4600,687.0,0.1323,600
23,0.09857409375795702,0.8011930134661893,765,4900,765.0,0.1323,600
24,0.10319155261108821,0.7927999228894581,854,5200,854.0,0.1322,600
25,0.10804431928407707,0.7847625627367123,945,5500,945.0,0.1311,600
26,0.11302245825846002,0.7766673881074778,1018,5800,1018.0,0.1329,600
27,0.11801055634704455,0.7691362783786797,1072,6100,1072.0,0.1372,600
28,0.12295794504638367,0.761613763032732,1119,6400,1119.0,0.1461,600
29,0.12795659075563035,0.75407929818901,1108,6700,1108.0,0.155,600
30,0.13309582460067254,0.7462962033345143,1098,7000,1098.0,0.1642,600
