year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.07888581843010013,0.09691439111714613,282,0,282.0,0.0344,0
1,0.08238273334804719,0.11791449120294374,321,0,321.0,0.0351,0
2,0.08587959414065219,0.13996316371769396,342,0,342.0,0.0354,0
3,0.08935360925784754,0.16314627450859476,344,0,344.0,0.0356,0
4,0.09279878580472578,0.18774978198313583,344,0,344.0,0.0363,0
5,0.09619634106936185,0.21442756977686578,344,0,344.0,0.0366,0
6,0.09951634808491089,0.2447147316521989,344,0,344.0,0.0367,0
7,0.10272855945307187,0.2816483115371746,344,0,344.0,0.0373,0
8,0.10578148773498794,0.3269136214894404,344,0,344.0,0.0389,0
9,0.10861391088809833,0.3803343969490643,344,0,344.0,0.0404,0
10,0.11115453600161022,0.4403477846412099,345,0,345.0,0.0425,0
11,0.11329692104707788,0.5041726522437615,345,0,345.0,0.0444,0
12,0.11502412175125125,0.5689457788181403,345,0,345.0,0.0458,0
13,0.1163081632026013,0.6316865941565363,345,0,345.0,0.0464,0
14,0.11715900094898697,0.6899729421730044,345,0,345.0,0.0466,0
15,0.11757579601992248,0.7420212374090219,345,0,345.0,0.0469,0
16,0.11756952090766024,0.7866919290478598,345,0,345.0,0.0466,0
17,0.11710278426151162,0.8233558958315078,346,0,346.0,0.0462,0
18,0.11601401826297338,0.8513109840961733,345,0,345.0,0.0455,0
19,0.1142892699247614,0.8708292466165302,345,0,345.0,0.0446,0
20,0.11211640034656187,0.8837472009871928,344,0,344.0,0.0441,0
21,0.10973946235434075,0.8923324168947755,343,0,343.0,0.0439,0
22,0.10730698994783339,0.898177661867821,342,0,342.0,0.0436,0
23,0.10489511661427622,0.9024246187217011,339,0,339.0,0.0435,0
24,0.10252691464622972,0.9057095879669288,336,0,336.0,0.0435,0
25,0.10023003133641785,0.9084548284601839,332,0,332.0,0.0433,0
26,0.0979949727872122,0.910852717948969,326,0,326.0,0.0424,0
27,0.09583996193430835,0.9130322412489057,319,0,319.0,0.0421,0
28,0.09375472674077942,0.9150404572656924,310,0,310.0,0.0416,0
29,0.09174199965076277,0.9169396949705173,297,0,297.0,0.0404,0
30,0.08979526111628308,0.9187791131626116,282,0,282.0,0.0389,0
31,0.08789957317821007,0.9205429259964376,267,0,267.0,0.0381,0
32,0.08605714098049091,0.9222717165580306,257,0,257.0,0.0367,0
33,0.08425088651291382,0.9239529013556581,246,0,246.0,0.0359,0
34,0.08249389747529022,0.9255863578608318,242,0,242.0,0.0354,0
35,0.08078224944453638,0.9271754384367852,236,0,236.0,0.0349,0
36,0.07908666476311461,0.9287084628899324,233,0,233.0,0.0341,0
37,0.07742560704422267,0.9302481527424363,227,0,227.0,0.0338,0
38,0.07580036955707994,0.9317528433087741,214,0,214.0,0.0337,0
39,0.07420901759997656,0.9332022229799338,192,0,192.0,0.0331,0
40,0.07266498640512038,0.934619611543433,179,0,179.0,0.0328,0
41,0.07116042399252691,0.9360013973256562,169,0,169.0,0.032,0
42,0.06970100434046794,0.9373517471321047,163,0,163.0,0.0317,0
43,0.06827397844096574,0.9386454648957256,160,0,160.0,0.0312,0
44,0.0668828534946013,0.939917694348864,153,0,153.0,0.0307,0
45,0.06550827219458663,0.9411505421329999,148,0,148.0,0.0288,0
46,0.06416005963670275,0.9423790635751711,143,0,143.0,0.0269,0
47,0.06284664110898,0.9435817439902979,127,0,127.0,0.0255,0
48,0.06156984914898999,0.944739151334233,107,0,107.0,0.0251,0
49,0.06032794006173714,0.945875448991836,92,0,92.0,0.0244,0
50,0.0591291497134216,0.9469650689734228,83,0,83.0,0.0238,0
51,0.057956569366851306,0.9480387724773564,72,0,72.0,0.0232,0
52,0.05682177313121737,0.9490854469551732,58,0,58.0,0.0226,0
53,0.05571825568992856,0.9500860912043583,52,0,52.0,0.0221,0
54,0.05462979295485149,0.9510640841972099,39,0,39.0,0.0211,0
55,0.053543867701490604,0.9520259170482175,37,0,37.0,0.0184,0
56,0.05248978851119389,0.9529685341060302,33,0,33.0,0.0173,0
57,0.05146118096687062,0.9539004139120276,32,0,32.0,0.0164,0
58,0.050457257007041414,0.9548009317050561,29,0,29.0,0.0157,0
59,0.04947406586182754,0.955697583489761,26,0,26.0,0.0155,0
60,0.048515003086077965,0.9565409930107666,21,0,21.0,0.0149,0
61,0.04758443509752879,0.9573921030147717,19,0,19.0,0.014,0
62,0.046685225522754635,0.9582270046880436,16,0,16.0,0.0115,0
63,0.0458101744853997,0.9590118090570532,13,0,13.0,0.0102,0
64,0.04496527589620005,0.9597797016735922,12,0,12.0,0.0089,0
65,0.044149846527573866,0.9605177711532464,12,0,12.0,0.0079,0
66,0.043352588036107,0.9612463707904659,11,0,11.0,0.0063,0
67,0.042580487651005604,0.9619359514711877,8,0,8.0,0.0054,0
68,0.041832162415805556,0.9626208359421958,5,0,5.0,0.0046,0
69,0.041103900297708086,0.9632743216648634,2,0,2.0,0.0039,0
70,0.04039939283544113,0.9639215019157187,1,0,1.0,0.0037,0
71,0.03971496722409936,0.9645334308685347,1,0,1.0,0.0035,0
72,0.03905253550736288,0.9651364304924116,0,0,0.0,0.0031,0
73,0.03840991232083632,0.9657149359556555,0,0,0.0,0.0031,0
74,0.03778285913123156,0.9662766292700528,0,0,0.0,0.0028,0
75,0.037175601468576916,0.9668347122069081,0,0,0.0,0.0023,0
