year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.07888581843010013,0.09691439111714613,282,0,282.0,0.0344,0
1,0.08285154569596585,0.1172023090378077,321,75,321.0,0.0351,75
2,0.08694486164841723,0.13792785319973863,342,150,342.0,0.0354,150
3,0.0911303247243621,0.15966105881923226,344,225,344.0,0.0356,150
4,0.09530605743294204,0.1822166844296593,344,300,344.0,0.0364,150
5,0.09950718651011867,0.20651325108829205,344,375,344.0,0.0367,150
6,0.10324483520524036,0.23537520523082267,344,450,344.0,0.0368,150
7,0.10692023974054164,0.2705810630344993,344,525,344.0,0.0375,150
8,0.11048421906762551,0.31375902820388835,344,600,344.0,0.0391,150
9,0.11386838615614601,0.36451531585916225,344,675,344.0,0.0406,150
10,0.11698883025169675,0.42154281949940225,345,750,345.0,0.0427,150
11,0.11976797381801949,0.48232108003579505,345,825,345.0,0.0448,150
12,0.12219184258019482,0.5441492176201466,345,900,345.0,0.0536,150
13,0.12422818474227094,0.6041494562203781,346,975,346.0,0.062,150
14,0.1258727924984278,0.6598656952313203,346,1050,346.0,0.0703,150
15,0.1271200709210942,0.7099591106925927,346,1125,346.0,0.0778,150
16,0.128139855347452,0.753206311667076,347,1200,347.0,0.0843,150
17,0.12892972549351073,0.7890008214942481,348,1275,348.0,0.0838,150
18,0.1293665529415868,0.8165253906444557,349,1350,349.0,0.0832,150
19,0.12941675886783363,0.8359990212783994,424,1425,424.0,0.0824,150
20,0.12915696358050524,0.8490312042245696,568,1500,568.0,0.0818,150
21,0.12872507375903575,0.8536225190683389,658,1575,658.0,0.0818,150
22,0.1282428775608732,0.8551786578192525,716,1650,716.0,0.0818,150
23,0.12776975065747942,0.8550066370816521,714,1725,714.0,0.084,150
24,0.12736836822865072,0.8539080897357253,712,1800,712.0,0.0861,150
25,0.12712478078195683,0.8526202858862991,708,1875,708.0,0.0885,150
26,0.1269054107121728,0.8550218637553406,705,1950,705.0,0.0921,150
27,0.1267817773852547,0.8573312308237395,699,2025,699.0,0.0965,150
28,0.126651593939485,0.8594561747949603,711,2100,711.0,0.1023,150
29,0.12649135001864148,0.8613414037240472,719,2175,719.0,0.1065,150
30,0.1261879971144804,0.8628087440814585,734,2250,734.0,0.1087,150
31,0.1258530598387465,0.8618642023625118,760,2325,760.0,0.1108,150
32,0.12545503282094858,0.8623067811010234,788,2400,788.0,0.1118,150
33,0.1251236362528785,0.8636823509891152,846,2475,846.0,0.1111,150
34,0.12490274406245135,0.8649889323974485,895,2550,895.0,0.111,150
35,0.12476891000598052,0.8661240173262084,928,2625,928.0,0.1115,150
36,0.1245762628855792,0.8666601773295237,956,2700,956.0,0.1145,150
37,0.1242720747453428,0.8658049104622765,978,2775,978.0,0.117,150
38,0.12395124446583768,0.8642917988256981,965,2850,965.0,0.1195,150
39,0.12363233507466892,0.8629881607166421,945,2925,945.0,0.121,150
40,0.12345418854226475,0.8619398773485278,941,3000,941.0,0.1224,150
41,0.12319695009882735,0.8636401768310803,965,3075,965.0,0.1239,150
42,0.122909720131011,0.8654824159087878,986,3150,986.0,0.1276,150
43,0.12258083072783472,0.8669193052119848,1014,3225,1014.0,0.1304,150
44,0.12225868552103027,0.8680215169331051,1027,3300,1027.0,0.135,150
45,0.1220233164346281,0.8687658900601959,1040,3375,1040.0,0.1353,150
46,0.12195640015282898,0.869153670744343,1055,3450,1055.0,0.1358,150
47,0.12219537649965077,0.8693250565146705,1066,3525,1066.0,0.1364,150
48,0.12271786119043895,0.8693321942297333,1073,3600,1073.0,0.1372,150
49,0.12346130926350242,0.869460820319515,1092,3675,1092.0,0.137,150
50,0.12424627819013923,0.8696174756061017,1131,3750,1131.0,0.1364,150
51,0.12493524811896857,0.8698293205611888,1152,3825,1152.0,0.1358,150
52,0.125618905059486,0.868138797872266,1146,3900,1146.0,0.1352,150
53,0.1263053411512099,0.8659662859496048,1141,3975,1141.0,0.1349,150
54,0.12690838437019616,0.8637893506970542,1131,4050,1131.0,0.1356,150
55,0.1273694022453074,0.8616473106624282,1152,4125,1152.0,0.1379,150
56,0.12782838627211537,0.8597815305416965,1158,4200,1158.0,0.1392,150
57,0.128188487119145,0.8588627251160653,1158,4275,1158.0,0.1408,150
58,0.12857288161297792,0.8595527116867936,1157,4350,1157.0,0.1431,150
59,0.12885055460136127,0.8604667353433333,1158,4425,1158.0,0.1448,150
60,0.129024696440335,0.8609993641352814,1205,4500,1205.0,0.1472,150
61,0.12912287779389647,0.8614917489132545,1230,4575,1230.0,0.1497,150
62,0.1292290189986418,0.8611790751213255,1249,4650,1249.0,0.15,150
63,0.12940231645469946,0.8590751081752039,1277,4725,1277.0,0.1504,150
64,0.12964309425711856,0.8572114718318169,1294,4800,1294.0,0.1506,150
65,0.13001970164173157,0.857410031308834,1319,4875,1319.0,0.1507,150
66,0.13039586171456036,0.8583411731903813,1358,4950,1358.0,0.1506,150
67,0.13075717092143763,0.8596971345502745,1380,5025,1380.0,0.1512,150
68,0.13099333511537173,0.8607753824860663,1407,5100,1407.0,0.1543,150
69,0.13112192898577923,0.861372356366239,1415,5175,1415.0,0.1562,150
70,0.13127752209973284,0.8613780258206831,1426,5250,1426.0,0.1584,150
71,0.13156950511837254,0.8611903182309719,1436,5325,1436.0,0.1598,150
72,0.1320496748518372,0.8602213396829606,1449,5400,1449.0,0.1603,150
73,0.1325847637808987,0.8601162841654661,1483,5475,1483.0,0.1603,150
74,0.1331679090154351,0.860506829973774,1513,5550,1513.0,0.16,150
75,0.13376886870051308,0.860536338402074,1539,5625,1539.0,0.1601,150
