year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.07888581843010013,0.09691439111714613,282,0,282.0,0.0344,0
1,0.0825648571029397,0.11773136951409471,321,25,321.0,0.0351,25
2,0.08627963416091776,0.1393815994041267,342,50,342.0,0.0354,50
3,0.08996097087762976,0.16217642213715772,344,75,344.0,0.0356,50
4,0.09366755550552687,0.18614208448746086,344,100,344.0,0.0363,50
5,0.09736089381426506,0.21208563906392888,344,125,344.0,0.0366,50
6,0.10082124813532756,0.2420171197309622,344,150,344.0,0.0367,50
7,0.10418820176281751,0.2784649060878563,344,175,344.0,0.0373,50
8,0.10741124663302094,0.3231565549801088,344,200,344.0,0.0389,50
9,0.11042598017302194,0.3758996357831758,344,225,344.0,0.0404,50
10,0.11315704411540532,0.4350518186657553,345,250,345.0,0.0425,50
11,0.11550778000252476,0.497949247327856,345,275,345.0,0.0444,50
12,0.11746136892733605,0.5618746886050395,345,300,345.0,0.0483,50
13,0.11898911558093439,0.6237865415759517,345,325,345.0,0.0516,50
14,0.12009684599286939,0.6812880917920172,345,350,345.0,0.0544,50
15,0.12078003524367231,0.7323921762528856,345,375,345.0,0.057,50
16,0.12110293405943084,0.7764460187754576,345,400,345.0,0.059,50
17,0.12102230953999861,0.8126902065576075,346,425,346.0,0.0586,50
18,0.12039541828756123,0.8404130375791777,370,450,370.0,0.0579,50
19,0.11919506588821974,0.8597291300641365,394,475,394.0,0.0571,50
20,0.11760799877811427,0.8721512756760638,420,500,420.0,0.0566,50
21,0.11588553747116602,0.8790043795552505,444,525,444.0,0.0565,50
22,0.11411894709523003,0.8829849456969486,463,550,463.0,0.0562,50
23,0.1123953218843008,0.8853202510721582,463,575,463.0,0.0561,50
24,0.11072752045068801,0.8867176844386291,460,600,460.0,0.0563,50
25,0.10912649264947481,0.8877851304061798,457,625,457.0,0.0564,50
26,0.10751496916332699,0.889838357754675,451,650,451.0,0.0559,50
27,0.10598284511060442,0.8918565279264904,445,675,445.0,0.0575,50
28,0.10451573100154958,0.8936954768170575,436,700,436.0,0.0574,50
29,0.10311432537495445,0.8952867891539957,424,725,424.0,0.057,50
30,0.10178398894219146,0.8966998286718619,413,750,413.0,0.0572,50
31,0.10051152057025341,0.8982286487352233,404,775,404.0,0.0567,50
32,0.09928700466348706,0.900041513227906,409,800,409.0,0.0556,50
33,0.09811749867200666,0.9018462820296794,404,825,404.0,0.0562,50
34,0.09698329946007835,0.9035200580757339,404,850,404.0,0.0576,50
35,0.0958859311078309,0.9049106099303477,415,875,415.0,0.0583,50
36,0.09487612213825834,0.9050803153915449,416,900,416.0,0.0588,50
37,0.09393612258678834,0.9048009908902767,413,925,413.0,0.0587,50
38,0.09293471035773214,0.905487452529425,410,950,410.0,0.0587,50
39,0.09192666967350663,0.9068669539832188,407,975,407.0,0.0583,50
40,0.09097716597989337,0.9083862158966083,404,1000,404.0,0.0583,50
41,0.09006840960655689,0.9096081166939725,411,1025,411.0,0.0576,50
42,0.08920228099939448,0.9106263858517581,411,1050,411.0,0.0578,50
43,0.08843614521686156,0.9106916012038173,409,1075,409.0,0.0592,50
44,0.0877698843636779,0.9103474692221586,403,1100,403.0,0.0601,50
45,0.08711317385566165,0.909966628199273,401,1125,401.0,0.0588,50
46,0.08636194334324031,0.9109975913254171,399,1150,399.0,0.0574,50
47,0.08564923600244975,0.9123004074752312,388,1175,388.0,0.0567,50
48,0.0849668785478875,0.9133819311515287,386,1200,386.0,0.0564,50
49,0.08429468361297614,0.9142436419516935,386,1225,386.0,0.0558,50
50,0.08367365461321673,0.914845650202288,379,1250,379.0,0.0565,50
51,0.08319565514398385,0.9144100208832424,373,1275,373.0,0.0576,50
52,0.0827580250711404,0.9137325958399629,366,1300,366.0,0.0576,50
53,0.0822518213009419,0.9143434668490318,365,1325,365.0,0.0587,50
54,0.08171816679631791,0.9152695695228372,354,1350,354.0,0.0584,50
55,0.081189040240833,0.9163376215094073,364,1375,364.0,0.056,50
56,0.08069221660309936,0.917071666108269,375,1400,375.0,0.055,50
57,0.0802358767071747,0.9176803127486921,381,1425,381.0,0.0542,50
58,0.0799305652500995,0.9172431495216333,387,1450,387.0,0.0554,50
59,0.07967038878565716,0.9165630365781875,396,1475,396.0,0.0569,50
60,0.07940554068265963,0.916042227918085,394,1500,394.0,0.0572,50
61,0.07902389563760484,0.9170367834926572,396,1525,396.0,0.0572,50
62,0.07868110146839515,0.9180255952676696,395,1550,395.0,0.0549,50
63,0.07840429660200246,0.9186910483829325,406,1575,406.0,0.0536,50
64,0.07817215639585433,0.9192185449295528,415,1600,415.0,0.0526,50
65,0.07796898957843267,0.9193275101187856,433,1625,433.0,0.0531,50
66,0.07790503212686378,0.9183948621814426,442,1650,442.0,0.0535,50
67,0.07787806729395422,0.9174121133631606,442,1675,442.0,0.0536,50
68,0.07771721157329169,0.9176982869226012,439,1700,439.0,0.0541,50
69,0.07756273220153069,0.9183673854195016,439,1725,439.0,0.0534,50
70,0.07745216073443065,0.9191045071021817,449,1750,449.0,0.0532,50
71,0.07736732492645129,0.9194910654037836,469,1775,469.0,0.0533,50
72,0.07728351445729925,0.919786341308808,481,1800,481.0,0.0536,50
73,0.07731161122683151,0.9191381624847107,491,1825,491.0,0.0554,50
74,0.07738586357115544,0.918215563548021,495,1850,495.0,0.0577,50
75,0.07747687343636933,0.9174657372415983,495,1875,495.0,0.0576,50
