year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.056479568214623625,0.674312234671554,282,0,282.0,0.0344,0
1,0.05795558489020088,0.7212994677074169,318,50,318.0,0.0363,50
2,0.05927401927681224,0.7614058050663394,342,100,342.0,0.0368,100
3,0.06034061159571558,0.7962896896751499,343,150,343.0,0.0369,100
4,0.06122339523056028,0.8254462523922506,344,200,344.0,0.0371,100
5,0.061879261057263026,0.8491557806104193,344,250,344.0,0.0371,100
6,0.062348087848397266,0.8672045286218854,344,350,344.0,0.0365,150
7,0.06266367154975679,0.8803639550960379,342,450,342.0,0.0358,200
8,0.06275302641095404,0.8894145702563221,341,550,341.0,0.0354,200
9,0.06259355343713441,0.8946932212742836,338,650,338.0,0.0354,200
10,0.062357835922857444,0.8971167881503276,335,750,335.0,0.0355,200
11,0.06160145187884166,0.901603472460428,327,850,327.0,0.0361,200
12,0.060865271301051474,0.9048405510241524,323,950,323.0,0.0411,200
13,0.06017690919892834,0.9071857186509719,316,1050,316.0,0.0468,200
14,0.059540999117772046,0.9087934134144608,295,1150,295.0,0.0522,200
15,0.05900246858837404,0.9093155114781337,284,1250,284.0,0.0565,200
16,0.059131223683938854,0.9069040189598382,267,1400,267.0,0.0608,250
17,0.059539324122406596,0.9043757618401865,252,1550,252.0,0.0648,300
18,0.06026255705516748,0.9014997685056897,280,1700,280.0,0.0695,300
19,0.06114751514087911,0.8987236625284797,340,1850,340.0,0.0743,300
20,0.062148017372922616,0.8958872471795363,386,2000,386.0,0.0782,300
21,0.06338923348555395,0.8920919813946548,414,2150,414.0,0.0829,300
22,0.06472586568039401,0.88865149407347,442,2300,442.0,0.0822,300
23,0.06621863807507443,0.8852867067798599,475,2450,475.0,0.0818,300
24,0.067920713971334,0.8816815919068065,513,2600,513.0,0.0815,300
25,0.06972441328767667,0.8785360566205209,550,2750,550.0,0.08,300
26,0.07155479856633286,0.8752784144646021,583,2900,583.0,0.0815,300
27,0.07342104538839726,0.8720205090982154,608,3050,608.0,0.0827,300
28,0.0753253096801361,0.8687908150382653,618,3200,618.0,0.0854,300
29,0.07726402842677899,0.8653919289298767,603,3350,603.0,0.0895,300
30,0.0793155516379379,0.8619787829041514,589,3500,589.0,0.0936,300
