year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.07888581843010013,0.09691439111714613,282,0,282.0,0.0344,0
1,0.08328849463839497,0.11671834330656641,321,125,321.0,0.0351,125
2,0.0878145958928597,0.136787006758905,342,250,342.0,0.0355,250
3,0.09239018484694794,0.15719162608836376,344,375,344.0,0.0357,250
4,0.0971184951275947,0.17832488135314256,344,500,344.0,0.0364,250
5,0.10184580686671986,0.20103849027155457,344,625,344.0,0.0366,250
6,0.10586630376540043,0.22924586277606127,344,750,344.0,0.0367,250
7,0.10985522241759718,0.263481736279271,344,875,344.0,0.0374,250
8,0.11376708329705378,0.30546578002094166,344,1000,344.0,0.039,250
9,0.11752162900051857,0.3550976389413798,344,1125,344.0,0.0406,250
10,0.12102925328070148,0.4104696356608463,345,1250,345.0,0.0427,250
11,0.12423103143088252,0.46981941764595747,346,1375,346.0,0.0455,250
12,0.1271101350452351,0.5303782640373578,347,1500,347.0,0.0585,250
13,0.12963904546192706,0.5892282172158282,347,1625,347.0,0.0728,250
14,0.13179861133365092,0.643749385189018,347,1750,347.0,0.0853,250
15,0.13362194155303014,0.6913113153860804,348,1875,348.0,0.098,250
16,0.13528273771614782,0.7333666895752908,348,2000,348.0,0.1082,250
17,0.1368029077404338,0.7683130877824705,359,2125,359.0,0.1078,250
18,0.13805280581719512,0.7954845078332681,473,2250,473.0,0.1071,250
19,0.1389822364887029,0.8142428281642186,600,2375,600.0,0.1069,250
20,0.13974514405281124,0.8254159411592403,724,2500,724.0,0.1066,250
21,0.14057474013715635,0.82558589567401,846,2625,846.0,0.1065,250
22,0.14157088899334302,0.8222463812063772,949,2750,949.0,0.1068,250
23,0.14259909219463587,0.8171782648217708,956,2875,956.0,0.1071,250
24,0.14371723393222377,0.8111308193048115,954,3000,954.0,0.108,250
25,0.14498677393513545,0.8054118414647262,956,3125,956.0,0.1091,250
26,0.14581465005472374,0.8063139079807096,952,3250,952.0,0.1113,250
27,0.14673887449094858,0.807596898617197,951,3375,951.0,0.1179,250
28,0.14772486258820652,0.8086857400906224,946,3500,946.0,0.1216,250
29,0.14875850014634814,0.8091307881376527,938,3625,938.0,0.1235,250
30,0.14990257075216068,0.8085591383563351,937,3750,937.0,0.1289,250
31,0.15116658253721338,0.8091901188669238,956,3875,956.0,0.1301,250
32,0.15242068895569105,0.8111993772476556,1012,4000,1012.0,0.131,250
33,0.15376194649156122,0.8133177333918512,1040,4125,1040.0,0.1382,250
34,0.1550656899693072,0.815064228348294,1059,4250,1059.0,0.1469,250
35,0.1562959504767349,0.8156420965704719,1122,4375,1122.0,0.1517,250
36,0.15808323064706833,0.8099015995019101,1142,4500,1142.0,0.1585,250
37,0.15991938979161632,0.8027494550534234,1153,4625,1153.0,0.1583,250
38,0.1613032970132547,0.8012302995342883,1193,4750,1193.0,0.1582,250
39,0.16263267803452366,0.8023737125742034,1265,4875,1265.0,0.1586,250
40,0.16406689352780926,0.8041601559474044,1303,5000,1303.0,0.1607,250
41,0.16553265858070795,0.8046355451390651,1377,5125,1377.0,0.1602,250
42,0.16701844231478027,0.8042009261350614,1407,5250,1407.0,0.1624,250
43,0.1689784299410806,0.7990416837470135,1405,5375,1405.0,0.1703,250
44,0.1711137360319315,0.7922217586304994,1401,5500,1401.0,0.1777,250
45,0.17325716374530134,0.7856136922298801,1420,5625,1420.0,0.1792,250
46,0.17491840849845058,0.7855383537217457,1426,5750,1426.0,0.1792,250
47,0.17658862787661056,0.7871243563623446,1442,5875,1442.0,0.1807,250
48,0.17826700794666298,0.7876723108754662,1497,6000,1497.0,0.1807,250
49,0.17986611842702827,0.7875083663078601,1559,6125,1559.0,0.1813,250
50,0.18154992314202462,0.7860974374375072,1568,6250,1568.0,0.1872,250
51,0.18378275067647015,0.7796249578784973,1578,6375,1578.0,0.1954,250
52,0.18614733717164988,0.7723051471670055,1590,6500,1590.0,0.1974,250
53,0.18796960412664016,0.7719250447875632,1607,6625,1607.0,0.2052,250
54,0.1896878809444499,0.7728200157770619,1613,6750,1613.0,0.2076,250
55,0.19139979682937325,0.7741142424546232,1668,6875,1668.0,0.2056,250
56,0.19321266717441388,0.7740620203298954,1740,7000,1740.0,0.2063,250
57,0.19507842968904773,0.7731691844559057,1777,7125,1777.0,0.2062,250
58,0.1975809301547959,0.7671851811795886,1820,7250,1820.0,0.2141,250
59,0.20018206981021477,0.7603103999189679,1872,7375,1872.0,0.2211,250
60,0.20263864420735095,0.7548765065353882,1886,7500,1886.0,0.2264,250
61,0.20448477547168392,0.7560583711655505,1906,7625,1906.0,0.2294,250
62,0.20638119303913155,0.7575033786278739,1915,7750,1915.0,0.2277,250
63,0.2085168808633491,0.7575271201935231,1986,7875,1986.0,0.2266,250
64,0.2107087685420253,0.7569224419631725,2036,8000,2036.0,0.2274,250
