year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.056479568214623625,0.674312234671554,282,0,282.0,0.0344,0
1,0.05848735500691462,0.7179823482942441,318,100,318.0,0.0363,100
2,0.060288611447700126,0.7548001352918678,342,200,342.0,0.0369,200
3,0.06203665945022827,0.785341862899899,343,300,343.0,0.0373,200
4,0.06373596829704901,0.8100111959387454,344,400,344.0,0.0374,200
5,0.06522356721363053,0.8294610747674381,344,500,344.0,0.0373,200
6,0.06667905647787328,0.8430133009166739,344,700,344.0,0.0366,300
7,0.06822267925067872,0.8518818362992384,344,900,344.0,0.0361,400
8,0.0698059554787135,0.856809560479999,344,1100,344.0,0.0361,400
9,0.07141271794044583,0.8586184444576634,344,1300,344.0,0.0364,400
10,0.07308810416326374,0.8578426385651943,345,1500,345.0,0.0373,400
11,0.07383592321738283,0.8628451167091061,345,1700,345.0,0.0382,400
12,0.07466554131025092,0.8664541994296713,346,1900,346.0,0.05,400
13,0.07558670027045447,0.86941788723058,348,2100,348.0,0.0589,400
14,0.07658609009699946,0.8710976634979865,349,2300,349.0,0.0678,400
15,0.07764661309262084,0.871247192729937,350,2500,350.0,0.0775,400
16,0.08001016674964442,0.8648813979766268,353,2800,353.0,0.0874,500
17,0.08290826646168332,0.8579902386611047,359,3100,359.0,0.0971,600
18,0.08624453918097552,0.8506342490935318,458,3400,458.0,0.1072,600
19,0.08994995341571979,0.8431531417344792,566,3700,566.0,0.1172,600
20,0.09390686243000475,0.8355581370599583,654,4000,654.0,0.1258,600
21,0.09806321341937932,0.8269225061424906,743,4300,743.0,0.135,600
22,0.1025185178785864,0.8182603235114763,838,4600,838.0,0.1351,600
23,0.10724651546540806,0.8094174215163948,926,4900,926.0,0.1355,600
24,0.11222938920451148,0.8004116806129822,1022,5200,1022.0,0.1363,600
25,0.11743767247994531,0.7917837981888847,1122,5500,1122.0,0.137,600
26,0.12279272860455674,0.7831063846509911,1199,5800,1199.0,0.1404,600
27,0.1281354064635124,0.7749338293915496,1262,6100,1262.0,0.1468,600
28,0.1334351341376233,0.7668088533498895,1315,6400,1315.0,0.1566,600
29,0.13877198958379716,0.7586515205885278,1314,6700,1314.0,0.1665,600
30,0.14423872972658328,0.7503161594141364,1312,7000,1312.0,0.1764,600
