year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.056479568214623625,0.674312234671554,282,0,282.0,0.0344,0
1,0.05743807468867186,0.7245244423433973,318,0,318.0,0.0363,0
2,0.058145851464518956,0.7684387315864173,342,0,342.0,0.0368,0
3,0.05859457422258147,0.8071823823844803,343,0,343.0,0.0369,0
4,0.05879295568156165,0.8407416993805992,344,0,344.0,0.037,0
5,0.05875913059346309,0.8690302205698739,344,0,344.0,0.0367,0
6,0.05850301767822954,0.8923915074587873,344,0,344.0,0.0359,0
7,0.05805274050406654,0.9113150783204071,344,0,344.0,0.0352,0
8,0.05743614304656485,0.9263665553476832,344,0,344.0,0.0348,0
9,0.05668788651823464,0.9381631480311946,343,0,343.0,0.0347,0
10,0.0558395254126553,0.9473069169461141,343,0,343.0,0.0347,0
11,0.05490963322127149,0.9543375765834404,342,0,342.0,0.0348,0
12,0.05392985870027726,0.9597301229629884,341,0,341.0,0.0348,0
13,0.05291678518780458,0.9638746610346707,341,0,341.0,0.0348,0
14,0.05188261519152306,0.967088675843917,341,0,341.0,0.0348,0
15,0.05082994509166551,0.9696045203219532,340,0,340.0,0.0348,0
16,0.04977740922234659,0.9716173631943374,340,0,340.0,0.0348,0
17,0.0487316853910444,0.9732536325056844,340,0,340.0,0.0348,0
18,0.04768915359890157,0.9746217795365337,338,0,338.0,0.0348,0
19,0.04665576057332936,0.9757764664900455,338,0,338.0,0.0348,0
20,0.045629183616232485,0.9767676315559802,336,0,336.0,0.0348,0
21,0.04462846746969421,0.977619096086388,334,0,334.0,0.0348,0
22,0.04364150146558411,0.9783857223568735,330,0,330.0,0.0348,0
23,0.04267063870052992,0.9790620542513556,329,0,329.0,0.0348,0
24,0.0417251917041203,0.9796870339267207,328,0,328.0,0.0348,0
25,0.0408128188229243,0.980273227003451,327,0,327.0,0.0348,0
26,0.03992415687660434,0.9808062469907549,322,0,322.0,0.0348,0
27,0.03905764782166347,0.9813106687159899,319,0,319.0,0.0347,0
28,0.03821393495546259,0.9817912396000235,312,0,312.0,0.0347,0
29,0.03739567466878437,0.9822433404800021,307,0,307.0,0.0347,0
30,0.03660447630394642,0.9826696162670688,299,0,299.0,0.0346,0
