year,mean_native_cover,mean_invasive_cover,cells_restored,biomats_deployed,restored_area_ha,biodiversity_proxy,active_biomats
0,0.056479568214623625,0.674312234671554,282,0,282.0,0.0344,0
1,0.05795558489020088,0.7212994677074169,318,50,318.0,0.0363,50
2,0.05927401927681224,0.7614058050663394,342,100,342.0,0.0368,100
3,0.06034158657615956,0.79629407888158,343,150,343.0,0.0369,100
4,0.06124521601715123,0.825501366284468,344,200,344.0,0.0371,100
5,0.06196102022657529,0.8493829471966569,344,250,344.0,0.0371,100
6,0.06255997659297978,0.867815823601338,344,350,344.0,0.0365,150
7,0.06312396910540102,0.8816231190820466,344,450,344.0,0.0358,200
8,0.06361967500450667,0.891716969334224,344,550,344.0,0.0354,200
9,0.06403735563669125,0.8985618921192039,343,650,343.0,0.0354,200
10,0.06445711435915137,0.9027565401993314,344,750,344.0,0.0355,200
11,0.06437043417805344,0.9088409456387037,343,850,343.0,0.0362,200
12,0.06428741364218495,0.9134129983346576,343,950,343.0,0.0414,200
13,0.06423826542700549,0.9168706272242373,345,1050,345.0,0.0472,200
14,0.06420597054333484,0.9193442057174934,346,1150,346.0,0.0526,200
15,0.06421510976132062,0.9204126886252925,346,1250,346.0,0.0569,200
16,0.06486426072583547,0.9182558013670108,346,1400,346.0,0.0612,250
17,0.0657692042514136,0.9157511221380268,347,1550,347.0,0.0655,300
18,0.06693693895788931,0.9127647168344394,381,1700,381.0,0.0704,300
19,0.06827100299892126,0.9097110520750381,449,1850,449.0,0.0754,300
20,0.06971439173161928,0.9064921093532053,505,2000,505.0,0.0798,300
21,0.07136379792179388,0.9022079598543266,547,2150,547.0,0.0848,300
22,0.07311567017410635,0.8982169899738294,593,2300,593.0,0.0849,300
23,0.07499724673068411,0.8942756932567736,636,2450,636.0,0.0849,300
24,0.07707056714686421,0.8900797411229456,680,2600,680.0,0.085,300
25,0.07922564689351094,0.8863054840782768,726,2750,726.0,0.0852,300
26,0.08142999765065004,0.8824452116546896,762,2900,762.0,0.0887,300
27,0.08364543428474605,0.878567895681036,793,3050,793.0,0.092,300
28,0.08589109535615032,0.8747421453476054,812,3200,812.0,0.0957,300
29,0.08816003260915006,0.870729820947336,808,3350,808.0,0.101,300
30,0.0905236611996027,0.8667349658769316,801,3500,801.0,0.1057,300
